,task_form,succes_human,succes_mnli_00,succes_mnli_03,succes_mnli_05,succes_mnli_10,succes_mnli_20,succes_mnli_30,succes_mnli_40,succes_mnli_50,succes_mnli_60,succes_mnli_70,succes_mnli_80,succes_mnli_90,succes_mnli_max,succes_simple_0.9999965,succes_simple_0.9999968,succes_simple_0.9999972,succes_simple_0.9999974,succes_simple_0.999996,succes_simple_0.999997
48,OA1,0.1616161616161616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202020202020202,0.0505050505050505,0.101010101010101,0.2121212121212121,0.5656565656565656,0.0,0.0,0.0202020202020202,0.2323232323232323,0.8787878787878788,0.0,0.0404040404040404
50,OA3,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.0421052631578947,0.1157894736842105,0.2210526315789473,0.2842105263157894,0.4526315789473684,0.6,0.8105263157894737,0.1157894736842105,0.0,0.0421052631578947,0.3157894736842105,0.8842105263157894,0.0,0.0947368421052631
8,AI1,0.1287128712871287,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0495049504950495,0.1485148514851485,0.2079207920792079,0.2376237623762376,0.2772277227722772,0.5643564356435643,0.099009900990099,0.0,0.0792079207920792,0.4455445544554455,0.8910891089108911,0.0,0.1485148514851485
49,OA2,0.1214953271028037,0.0,0.0,0.0,0.0186915887850467,0.2149532710280373,0.4485981308411215,0.5700934579439252,0.719626168224299,0.7850467289719626,0.8504672897196262,0.897196261682243,0.9158878504672896,0.6448598130841121,0.0,0.0093457943925233,0.3644859813084112,0.9065420560747663,0.0,0.102803738317757
12,AO1,0.1188118811881188,0.0,0.0,0.0,0.0,0.0,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.1089108910891089,0.1683168316831683,0.2673267326732673,0.4158415841584158,0.0198019801980198,0.0,0.0396039603960396,0.4059405940594059,0.900990099009901,0.0,0.1089108910891089
51,OA4,0.1020408163265306,0.0,0.0,0.0,0.0408163265306122,0.173469387755102,0.336734693877551,0.4081632653061224,0.4897959183673469,0.5306122448979592,0.6020408163265306,0.7244897959183674,0.8061224489795918,0.4489795918367347,0.0,0.0,0.2755102040816326,0.8469387755102041,0.0,0.0408163265306122
33,IA2,0.0943396226415094,0.0,0.0,0.0,0.0943396226415094,0.5094339622641509,0.7641509433962265,0.8679245283018868,0.9056603773584906,0.9528301886792452,0.9905660377358492,1.0,1.0,0.8490566037735849,0.0,0.0188679245283018,0.3773584905660377,0.9245283018867924,0.0,0.0754716981132075
56,OI1,0.0,0.0,0.0,0.0,0.0,0.0094339622641509,0.0566037735849056,0.1132075471698113,0.2169811320754717,0.4056603773584906,0.6037735849056604,0.8018867924528302,0.8867924528301887,0.1792452830188679,0.0,0.0,0.2264150943396226,0.8113207547169812,0.0,0.0471698113207547
57,OI2,0.0,0.0,0.0,0.0,0.0392156862745098,0.196078431372549,0.4117647058823529,0.6078431372549019,0.7058823529411765,0.8137254901960784,0.8921568627450981,0.931372549019608,0.9509803921568628,0.6372549019607843,0.0,0.0098039215686274,0.3823529411764705,0.8725490196078431,0.0,0.0490196078431372
58,OI3,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.1078431372549019,0.2941176470588235,0.4313725490196078,0.5490196078431373,0.696078431372549,0.8627450980392157,0.9901960784313726,0.3627450980392157,0.0,0.0196078431372549,0.2941176470588235,0.8235294117647058,0.0,0.0392156862745098
59,OI4,0.0,0.0,0.0,0.0,0.0,0.1145833333333333,0.2083333333333333,0.34375,0.4479166666666667,0.5729166666666666,0.6875,0.84375,0.8854166666666666,0.4166666666666667,0.0,0.0,0.2708333333333333,0.7708333333333334,0.0,0.0625
